,Opportunity_ID,Items_Count,Region,Territory,"Pricing, Delivery_Terms_Quote_Appr",Bureaucratic_Code_0_Approval,Bureaucratic_Code_0_Approved,Submitted_for_Approval,Bureaucratic_Code,Account_Created_Date,Billing_Country,Account_Name,Opportunity_Name,Account_Owner,Opportunity_Owner,Account_Type,Opportunity_Type,Quote_Type,Delivery_Terms,Currency,Last_Modified_By,Product_Family,Product_Name,ASP_Currency,ASP,ASP_(converted)_Currency,ASP_(converted),Month,Delivery_Quarter,Delivery_Year,TRF,Total_Amount_Currency,Total_Amount,Total_Taxable_Amount_Currency,Total_Taxable_Amount,Prod_Category_A,diferencia_en_dias,Last_Modified_DOY,Last_Modified_Year,Opportunity_Created_DOY,Opportunity_Created_Year,Quote_Expiry_DOY,Quote_Expiry_Year,Planned_Delivery_Start_DOY,Planned_Delivery_Start_Year,Planned_Delivery_End_DOY,Planned_Delivery_End_Year,Target
0,0,1,EMEA,None,1,1,1,0,Bureaucratic_Code_4,6/16/2015,Netherlands,Account_Name_619,Opportunity_Name_12598,Person_Name_51,Person_Name_18,Account_Type_2,Opportunity_Type_1,Non Binding,Delivery_Terms_2,None,Person_Name_18,Product_Family_77,Product_Name_99,EUR,0.52,,0.58817,2016 - 5,Q2,2016,10.0,EUR,5272800.0,EUR,5272800.0,Prod_Category_A_None,189,165,2016,341,2015-12-07,30.0,2016.0,122,2016,182.0,2016.0,0
1,1,1,EMEA,None,0,0,0,0,Bureaucratic_Code_4,6/16/2015,Netherlands,Account_Name_619,Opportunity_Name_12600,Person_Name_51,Person_Name_20,Account_Type_2,Opportunity_Type_1,Non Binding,Delivery_Terms_2,None,Person_Name_20,Product_Family_77,Product_Name_100,EUR,0.53,,0.59948,2016 - 1,Q1,2016,0.0,EUR,48230.0,EUR,48230.0,Prod_Category_A_None,39,15,2016,341,2015-12-07,20.0,2016.0,18,2016,20.0,2016.0,1
2,2,1,Americas,NW America,0,0,0,0,Bureaucratic_Code_4,4/21/2015,United States,Account_Name_1794,Opportunity_Name_469,Person_Name_64,Person_Name_8,Account_Type_5,Opportunity_Type_1,Non Binding,Delivery_Terms_4,None,Person_Name_8,Product_Family_81,Product_Name_91,USD,0.48,,0.48,2016 - 1,Q1,2016,0.0,USD,83865.6,USD,83865.6,Prod_Category_A_None,296,273,2016,342,2015-12-08,274.0,2016.0,25,2016,25.0,2016.0,1
3,3,1,Americas,NW America,1,1,0,0,Bureaucratic_Code_5,7/27/2013,United States,Account_Name_1201,Opportunity_Name_415,Person_Name_8,Person_Name_8,Account_Type_5,Opportunity_Type_19,Non Binding,Delivery_Terms_1,USD,Person_Name_8,Product_Family_209,Product_Name_432,USD,0.53,,0.53,2018 - 2,Q1,2018,14.0,USD,7421881.5,USD,7421881.5,Prod_Category_A_None,840,86,2018,342,2015-12-08,,,32,2018,90.0,2018.0,0
4,4,1,Americas,NW America,1,1,0,0,Bureaucratic_Code_5,7/27/2013,United States,Account_Name_1201,Opportunity_Name_851,Person_Name_8,Person_Name_8,Account_Type_5,Opportunity_Type_19,Non Binding,Delivery_Terms_1,USD,Person_Name_8,Product_Family_209,Product_Name_432,USD,0.53,,0.53,2018 - 2,Q1,2018,25.0,USD,13357192.5,USD,13357192.5,Prod_Category_A_None,840,86,2018,342,2015-12-08,153.0,2017.0,32,2018,59.0,2018.0,0
5,5,1,Americas,NW America,1,1,0,0,Bureaucratic_Code_5,7/27/2013,United States,Account_Name_1201,Opportunity_Name_939,Person_Name_8,Person_Name_8,Account_Type_5,Opportunity_Type_19,Non Binding,Delivery_Terms_1,USD,Person_Name_8,Product_Family_209,Product_Name_432,USD,0.53,,0.53,2018 - 2,Q1,2018,28.0,USD,14838277.5,USD,14838277.5,Prod_Category_A_None,840,86,2018,342,2015-12-08,153.0,2017.0,32,2018,90.0,2018.0,0
6,6,1,Americas,NW America,1,1,0,0,Bureaucratic_Code_5,7/27/2013,United States,Account_Name_1201,Opportunity_Name_1618,Person_Name_8,Person_Name_8,Account_Type_5,Opportunity_Type_19,Non Binding,Delivery_Terms_4,None,Person_Name_8,Product_Family_164,Product_Name_308,USD,0.38,,0.38,2017 - 2,Q1,2017,7.0,USD,2659494.6,USD,2659494.6,Prod_Category_A_None,304,281,2016,342,2015-12-08,,,32,2017,121.0,2017.0,0
7,7,1,Americas,NW America,1,1,1,0,Bureaucratic_Code_4,4/21/2015,United States,Account_Name_1794,Opportunity_Name_8227,Person_Name_64,Person_Name_8,Account_Type_5,Opportunity_Type_1,Non Binding,Delivery_Terms_4,None,Person_Name_8,Product_Family_143,Product_Name_251,USD,0.48,,0.48,2016 - 1,Q1,2016,0.0,USD,50688.0,USD,50688.0,Prod_Category_A_None,0,343,2015,343,2015-12-09,7.0,2016.0,25,2016,25.0,2016.0,1
8,8,5,Japan,None,1,0,0,0,Bureaucratic_Code_5,4/20/2015,Japan,Account_Name_1888,Opportunity_Name_6151,Person_Name_50,Person_Name_50,Account_Type_2,Opportunity_Type_7,Non Binding,Delivery_Terms_4,None,Person_Name_50,Product_Family_6,Product_Name_6,JPY,78.0,,0.70125,2016 - 2,Q1,2016,0.0,JPY,470400.0,JPYJPYJPYJPYJPY,2352000.0,Prod_Category_A_None,118,96,2016,343,2015-12-09,,,60,2016,60.0,2016.0,0
9,9,5,Japan,None,1,0,0,0,Bureaucratic_Code_5,4/20/2015,Japan,Account_Name_1888,Opportunity_Name_6817,Person_Name_50,Person_Name_50,Account_Type_2,Opportunity_Type_7,Non Binding,Delivery_Terms_4,None,Person_Name_50,Product_Family_6,Product_Name_6,JPY,78.0,,0.70125,2016 - 2,Q1,2016,0.0,JPY,559320.0,JPYJPYJPYJPYJPY,2796600.0,Prod_Category_A_None,118,96,2016,343,2015-12-09,,,60,2016,60.0,2016.0,0
