,Opportunity_ID,Territory,Submitted_for_Approval,Bureaucratic_Code,Billing_Country,Account_Name,Opportunity_Name,Account_Owner,Opportunity_Owner,Account_Type,Quote_Type,Delivery_Terms,Last_Modified_By,Product_Family,Product_Name,ASP_Currency,ASP,ASP_(converted)_Currency,ASP_(converted),TRF,Total_Amount_Currency,Total_Amount,Total_Taxable_Amount,Prod_Category_A,diferencia_en_dias,Last_Modified_DOY,Opportunity_Created_DOY,Opportunity_Created_Year,Quote_Expiry_DOY,Planned_Delivery_Start_DOY,Planned_Delivery_Start_Year,Planned_Delivery_End_DOY,Target
0,0,0.0,0,0.0,-1.8892071306262376e-05,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,-3.950860739997964e-06,0.52,0.0,0.58817,10.0,-3.950860739997964e-06,5272800.0,5272800.0,0.0006018711113978903,189,165,341,2015-12-07,30.0,122,2016,182.0,0
1,1,0.0,0,0.0,-1.8892071306262376e-05,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,-3.950860739997964e-06,0.53,0.0,0.59948,0.0,-3.950860739997964e-06,48230.0,48230.0,0.0006018711113978903,39,15,341,2015-12-07,20.0,18,2016,20.0,1
2,2,0.0,0,0.0,-1.9230942540455424e-05,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,-1.910245071947243e-05,0.48,0.0,0.48,0.0,-1.910245071947243e-05,83865.6,83865.6,0.0006018711113978903,296,273,342,2015-12-08,274.0,25,2016,25.0,1
3,3,0.0,0,0.0,-1.9230942540455424e-05,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,-1.910245071947243e-05,0.53,0.0,0.53,14.0,-1.910245071947243e-05,7421881.5,7421881.5,0.0006018711113978903,840,86,342,2015-12-08,,32,2018,90.0,0
4,4,0.0,0,0.0,-1.9230942540455424e-05,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,-1.910245071947243e-05,0.53,0.0,0.53,25.0,-1.910245071947243e-05,13357192.5,13357192.5,0.0006018711113978903,840,86,342,2015-12-08,153.0,32,2018,59.0,0
5,5,0.0,0,0.0,-1.9230942540455424e-05,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,-1.910245071947243e-05,0.53,0.0,0.53,28.0,-1.910245071947243e-05,14838277.5,14838277.5,0.0006018711113978903,840,86,342,2015-12-08,153.0,32,2018,90.0,0
6,6,0.0,0,0.0,-1.9230942540455424e-05,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,-1.910245071947243e-05,0.38,0.0,0.38,7.0,-1.910245071947243e-05,2659494.6,2659494.6,0.0006018711113978903,304,281,342,2015-12-08,,32,2017,121.0,0
7,7,0.0,0,0.0,-1.9230942540455424e-05,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,-1.910245071947243e-05,0.48,0.0,0.48,0.0,-1.910245071947243e-05,50688.0,50688.0,0.0006018711113978903,0,343,343,2015-12-09,7.0,25,2016,25.0,1
8,8,0.0,0,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,78.0,0.0,0.70125,0.0,0.0,470400.0,2352000.0,0.0006018711113978903,118,96,343,2015-12-09,,60,2016,60.0,0
9,9,0.0,0,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,78.0,0.0,0.70125,0.0,0.0,559320.0,2796600.0,0.0006018711113978903,118,96,343,2015-12-09,,60,2016,60.0,0
10,10,0.0,0,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,78.0,0.0,0.70125,0.0,0.0,579600.0,2898000.0,0.0006018711113978903,118,96,343,2015-12-09,,60,2016,60.0,0
11,11,0.0006018711113978903,0,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,-1.910245071947243e-05,0.539,0.0,0.539,3.0,-1.910245071947243e-05,1621851.0,1621851.0,0.0006018711113978903,29,7,343,2015-12-09,91.0,9,2016,15.0,1
12,12,0.0006018711113978903,0,0.0,4.295376468490969e-06,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,-1.910245071947243e-05,0.55,0.0,0.55,0.0,-1.910245071947243e-05,221650.0,221650.0,0.0006018711113978903,112,90,343,2015-12-09,91.0,18,2016,31.0,0
13,13,0.0,0,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,78.0,0.0,0.70125,0.0,0.0,1012920.0,6077520.0,0.0006018711113978903,118,96,343,2015-12-09,,60,2016,60.0,0
