,Opportunity_ID,Items_Count,Region,Territory,"Pricing, Delivery_Terms_Quote_Appr",Bureaucratic_Code_0_Approval,Bureaucratic_Code_0_Approved,Submitted_for_Approval,Bureaucratic_Code,Billing_Country,Account_Name,Opportunity_Name,Account_Owner,Opportunity_Owner,Account_Type,Opportunity_Type,Quote_Type,Delivery_Terms,Currency,Last_Modified_By,Product_Family,Product_Name,ASP_Currency,ASP,ASP_(converted)_Currency,ASP_(converted),Delivery_Quarter,Delivery_Year,TRF,Total_Amount_Currency,Total_Amount,Total_Taxable_Amount_Currency,Total_Taxable_Amount,Prod_Category_A,diferencia_en_dias,Account_Created_DOY,Account_Created_Year,Last_Modified_DOY,Last_Modified_Year,Opportunity_Created_DOY,Quote_Expiry_DOY,Quote_Expiry_Year,Planned_Delivery_Start_DOY,Planned_Delivery_Start_Year,Planned_Delivery_End_DOY,Planned_Delivery_End_Year,Target
0,0,1,-0.0010813333859550766,0.0008806666382588446,1,1,1,0,-0.0032896665887286267,0.0003269999892897128,0.0,0.0,0.0,0.0,0.0,0.0,0.0028076666541649803,0.0,0.0008806666382588446,0.0,0.0,-0.0032896665887286267,0.0009283333747104432,0.52,0.004697333311269176,0.58817,-0.002642333374363564,2016,10.0,0.0009283333747104432,5272800.0,0.0009283333747104432,5272800.0,0.0,189,167,2015,165,2016,341,30.0,2016.0,122,2016,182.0,2016.0,0
1,1,1,-0.0010813333859550766,0.0008806666382588446,0,0,0,0,-0.0032896665887286267,0.0003269999892897128,0.0,0.0,0.0,0.0,0.0,0.0,0.0028076666541649803,0.0,0.0008806666382588446,0.0,0.0,-0.0032896665887286267,0.0009283333747104432,0.53,0.004697333311269176,0.59948,-0.0023880001068027922,2016,0.0,0.0009283333747104432,48230.0,0.0009283333747104432,48230.0,0.0,39,167,2015,15,2016,341,20.0,2016.0,18,2016,20.0,2016.0,1
2,2,1,-9.099997470912057e-05,0.002723666684238803,0,0,0,0,-0.0032896665887286267,0.0005458333439552613,0.0,0.0,0.0,0.0,0.0,0.0,0.0028076666541649803,0.0,0.0008806666382588446,0.0,0.0,-0.0032896665887286267,-0.0023666667074576254,0.48,0.004697333311269176,0.48,-0.0023880001068027922,2016,0.0,-0.0023666667074576254,83865.6,-0.0023666667074576254,83865.6,0.0,296,111,2015,273,2016,342,274.0,2016.0,25,2016,25.0,2016.0,1
3,3,1,-9.099997470912057e-05,0.002723666684238803,1,1,0,0,-0.0032896665887286267,0.0005458333439552613,0.0,0.0,0.0,0.0,0.0,0.0,0.0028076666541649803,0.0,-0.0023666667074576254,0.0,0.0,-0.0032896665887286267,-0.0023666667074576254,0.53,0.004697333311269176,0.53,-0.0023880001068027922,2018,14.0,-0.0023666667074576254,7421881.5,-0.0023666667074576254,7421881.5,0.0,840,208,2013,86,2018,342,,,32,2018,90.0,2018.0,0
4,4,1,-9.099997470912057e-05,0.002723666684238803,1,1,0,0,-0.0032896665887286267,0.0005458333439552613,0.0,0.0,0.0,0.0,0.0,0.0,0.0028076666541649803,0.0,-0.0023666667074576254,0.0,0.0,-0.0032896665887286267,-0.0023666667074576254,0.53,0.004697333311269176,0.53,-0.0023880001068027922,2018,25.0,-0.0023666667074576254,13357192.5,-0.0023666667074576254,13357192.5,0.0,840,208,2013,86,2018,342,153.0,2017.0,32,2018,59.0,2018.0,0
5,5,1,-9.099997470912057e-05,0.002723666684238803,1,1,0,0,-0.0032896665887286267,0.0005458333439552613,0.0,0.0,0.0,0.0,0.0,0.0,0.0028076666541649803,0.0,-0.0023666667074576254,0.0,0.0,-0.0032896665887286267,-0.0023666667074576254,0.53,0.004697333311269176,0.53,-0.0023880001068027922,2018,28.0,-0.0023666667074576254,14838277.5,-0.0023666667074576254,14838277.5,0.0,840,208,2013,86,2018,342,153.0,2017.0,32,2018,90.0,2018.0,0
6,6,1,-9.099997470912057e-05,0.002723666684238803,1,1,0,0,-0.0032896665887286267,0.0005458333439552613,0.0,0.0,0.0,0.0,0.0,0.0,0.0028076666541649803,0.0,0.0008806666382588446,0.0,0.0,-0.0032896665887286267,-0.0023666667074576254,0.38,0.004697333311269176,0.38,-0.0023880001068027922,2017,7.0,-0.0023666667074576254,2659494.6,-0.0023666667074576254,2659494.6,0.0,304,208,2013,281,2016,342,,,32,2017,121.0,2017.0,0
7,7,1,-9.099997470912057e-05,0.002723666684238803,1,1,1,0,-0.0032896665887286267,0.0005458333439552613,0.0,0.0,0.0,0.0,0.0,0.0,0.0028076666541649803,0.0,0.0008806666382588446,0.0,0.0,-0.0032896665887286267,-0.0023666667074576254,0.48,0.004697333311269176,0.48,-0.0023880001068027922,2016,0.0,-0.0023666667074576254,50688.0,-0.0023666667074576254,50688.0,0.0,0,111,2015,343,2015,343,7.0,2016.0,25,2016,25.0,2016.0,1
8,8,5,0.002038666642838507,0.0008806666382588446,1,0,0,0,-0.0032896665887286267,0.002038666642838507,0.0,0.0,0.0,0.0,0.0,0.0,0.0028076666541649803,0.0,0.0008806666382588446,0.0,0.0,-0.0032896665887286267,0.0017506666930421487,78.0,0.004697333311269176,0.70125,-0.0023880001068027922,2016,0.0,0.0017506666930421487,470400.0,0.0,2352000.0,0.0,118,110,2015,96,2016,343,,,60,2016,60.0,2016.0,0
9,9,5,0.002038666642838507,0.0008806666382588446,1,0,0,0,-0.0032896665887286267,0.002038666642838507,0.0,0.0,0.0,0.0,0.0,0.0,0.0028076666541649803,0.0,0.0008806666382588446,0.0,0.0,-0.0032896665887286267,0.0017506666930421487,78.0,0.004697333311269176,0.70125,-0.0023880001068027922,2016,0.0,0.0017506666930421487,559320.0,0.0,2796600.0,0.0,118,110,2015,96,2016,343,,,60,2016,60.0,2016.0,0
