ID,"Pricing, Delivery_Terms_Quote_Appr",Bureaucratic_Code_0_Approval,Bureaucratic_Code_0_Approved,Submitted_for_Approval,Opportunity_ID,ASP,ASP_(converted),TRF,Total_Amount,Total_Taxable_Amount,diferencia_en_dias,Last_Modified_DOY,Last_Modified_Year,Opportunity_Created_DOY,Opportunity_Created_Year,Quote_Expiry_DOY,Quote_Expiry_Year,Planned_Delivery_Start_DOY,Planned_Delivery_Start_Year,Planned_Delivery_End_DOY,Planned_Delivery_End_Year,Region_count,Territory_count,"Pricing, Delivery_Terms_Approved_count",Bureaucratic_Code_count,Account_Created_Date_count,Billing_Country_count,Account_Name_count,Account_Owner_count,Opportunity_Owner_count,Account_Type_count,Opportunity_Type_count,Quote_Type_count,Delivery_Terms_count,Currency_count,Last_Modified_By_count,Product_Family_count,Product_Name_count,ASP_Currency_count,ASP_(converted)_Currency_count,Month_count,Delivery_Quarter_count,Delivery_Year_count,Total_Amount_Currency_count,Total_Taxable_Amount_Currency_count,Prod_Category_A_count,Delivery_Quarter_of_Year_count,Region_Territory_Country_count,Product_Family_Name_count,ASP_Higher_Mean_count,TRF_Higher_Mean_count,Same_Owner_count,Last_Modified_By_Account_Owner_count,Last_Modified_By_Opportunity_Owner_count
27761,1,1,1,0,0,0.52,0.58817,10,5272800.0,10,189,165,2016,341,0.0,30.0,2016.0,122,2016,182.0,2016.0,4660,4981,1,12544,75,563,63,108,982,8786,6774,16713,4630,15988,438,1345,127,4501,16883,341,4423,2016,4501,4516,16883,1076,55,127,1,1,0,0,1
27760,0,0,0,0,1,0.53,0.59948,0,48230.0,0,39,15,2016,341,0.0,20.0,2016.0,18,2016,20.0,2016.0,4660,4981,0,12544,75,563,63,108,49,8786,6774,16713,4630,15988,22,1345,976,4501,16883,196,4295,2016,4501,4516,16883,1264,55,976,1,0,0,0,1
27446,0,0,0,0,2,0.48,0.48,0,83865.6,0,296,273,2016,342,0.0,274.0,2016.0,25,2016,25.0,2016.0,3933,1560,0,12544,91,3790,91,569,1422,1928,6774,16713,7682,15988,511,12,10,7321,16883,196,4295,2016,7321,7305,16883,1264,1538,10,1,0,0,0,1
16808,1,1,0,0,3,0.53,0.53,14,7421881.5,14,840,86,2018,342,0.0,0.0,0.0,32,2018,90.0,2018.0,3933,1560,0,3782,2640,3790,8,1286,1422,1928,1889,16713,2910,420,511,380,109,7321,16883,498,4295,2018,7321,7305,16883,1431,1538,109,1,1,1,1,1
16805,1,1,0,0,4,0.53,0.53,25,13357192.5,25,840,86,2018,342,0.0,153.0,2017.0,32,2018,59.0,2018.0,3933,1560,0,3782,2640,3790,8,1286,1422,1928,1889,16713,2910,420,511,380,109,7321,16883,498,4295,2018,7321,7305,16883,1431,1538,109,1,1,1,1,1
16802,1,1,0,0,5,0.53,0.53,28,14838277.5,28,840,86,2018,342,0.0,153.0,2017.0,32,2018,90.0,2018.0,3933,1560,0,3782,2640,3790,8,1286,1422,1928,1889,16713,2910,420,511,380,109,7321,16883,498,4295,2018,7321,7305,16883,1431,1538,109,1,1,1,1,1
16799,1,1,0,0,6,0.38,0.38,7,2659494.6,7,304,281,2016,342,0.0,0.0,0.0,32,2017,121.0,2017.0,3933,1560,0,3782,2640,3790,8,1286,1422,1928,1889,16713,7682,15988,511,419,104,7321,16883,392,4295,2017,7321,7305,16883,1323,1538,104,0,1,1,1,1
27455,1,1,1,0,7,0.48,0.48,0,50688.0,0,0,343,2015,343,0.0,7.0,2016.0,25,2016,25.0,2016.0,3933,1560,1,12544,91,3790,91,569,1422,1928,6774,16713,7682,15988,511,24,21,7321,16883,196,4295,2016,7321,7305,16883,1264,1538,21,1,0,0,0,1
24353,1,0,0,0,8,0.4329400636104408,0.4329400636104408,0,15600.0,0,118,96,2016,343,0.0,0.0,0.0,60,2016,60.0,2016.0,4869,4981,0,3782,3009,4856,2122,3722,3773,8786,5760,16713,7682,15988,1202,121,121,4500,16883,440,4295,2016,4500,4505,16883,1264,4186,121,1,0,1,1,1
24355,1,0,0,0,8,0.4329400636104408,0.4329400636104408,0,4400.0,0,118,96,2016,343,0.0,0.0,0.0,60,2016,60.0,2016.0,4869,4981,0,3782,3009,4856,2122,3722,3773,8786,5760,16713,7682,15988,1202,474,474,4500,16883,440,4295,2016,4500,4505,16883,1264,4186,474,1,0,1,1,1
24356,1,0,0,0,8,0.4329400636104408,0.4329400636104408,0,6200.0,0,118,96,2016,343,0.0,0.0,0.0,60,2016,60.0,2016.0,4869,4981,0,3782,3009,4856,2122,3722,3773,8786,5760,16713,7682,15988,1202,524,524,4500,16883,440,4295,2016,4500,4505,16883,1264,4186,524,1,0,1,1,1
24357,1,0,0,0,8,0.4329400636104408,0.4329400636104408,0,140000.0,0,118,96,2016,343,0.0,0.0,0.0,60,2016,60.0,2016.0,4869,4981,0,3782,3009,4856,2122,3722,3773,8786,5760,16713,7682,15988,1202,157,157,4500,16883,440,4295,2016,4500,4505,16883,1264,4186,157,1,0,1,1,1
24358,1,0,0,0,8,78.0,0.70125,0,304200.0,0,118,96,2016,343,0.0,0.0,0.0,60,2016,60.0,2016.0,4869,4981,0,3782,3009,4856,2122,3722,3773,8786,5760,16713,7682,15988,1202,1345,976,4500,16883,440,4295,2016,4500,4505,16883,1264,4186,976,1,0,1,1,1
24420,1,0,0,0,9,0.4329400636104408,0.4329400636104408,0,23400.0,0,118,96,2016,343,0.0,0.0,0.0,60,2016,60.0,2016.0,4869,4981,0,3782,3009,4856,2122,3722,3773,8786,5760,16713,7682,15988,1202,121,121,4500,16883,440,4295,2016,4500,4505,16883,1264,4186,121,1,0,1,1,1
24422,1,0,0,0,9,0.4329400636104408,0.4329400636104408,0,4400.0,0,118,96,2016,343,0.0,0.0,0.0,60,2016,60.0,2016.0,4869,4981,0,3782,3009,4856,2122,3722,3773,8786,5760,16713,7682,15988,1202,474,474,4500,16883,440,4295,2016,4500,4505,16883,1264,4186,474,1,0,1,1,1
