,Account_Name,Opportunity_Name,Total_Amount,diferencia_en_dias,Quote_Expiry_DOY,Planned_Delivery_End_DOY,Target
0,1295,2166,5272800.0,189,30.0,182.0,0
1,1295,2169,48230.0,39,20.0,20.0,1
2,694,5309,83865.6,296,274.0,25.0,1
3,181,4879,7421881.5,840,,90.0,0
4,181,8532,13357192.5,840,153.0,59.0,0
5,181,9322,14838277.5,840,153.0,90.0,0
6,181,2765,2659494.6,304,,121.0,0
7,694,8315,50688.0,0,7.0,25.0,1
8,771,6535,470400.0,118,,60.0,0
9,771,7122,559320.0,118,,60.0,0
10,771,6370,579600.0,118,,60.0,0
11,132,7290,1621851.0,29,91.0,15.0,1
12,1125,4608,221650.0,112,91.0,31.0,0
13,771,5455,1012920.0,118,,60.0,0
14,771,7273,972360.0,118,,60.0,0
15,771,3396,1144120.0,118,,60.0,0
16,771,3285,1359040.0,118,,60.0,0
17,771,6916,486000.0,28,,60.0,0
18,771,7153,576720.0,118,,60.0,0
19,62,9039,259875.0,324,357.0,106.0,0
20,982,4794,103350.0,0,8.0,29.0,1
21,574,6742,3184974.0,440,,91.0,1
22,771,6065,243360.0,26,5.0,8.0,1
23,989,3773,214500.0,399,349.0,12.0,1
24,989,3770,214500.0,399,350.0,19.0,1
25,385,96,1556587.5,399,356.0,55.0,0
26,1220,7422,549780.0,519,14.0,146.0,0
27,856,1784,317625.0,397,349.0,29.0,1
28,187,3168,429000.0,397,349.0,49.0,1
29,641,1083,3920.0,287,31.0,31.0,1
30,1263,4648,7695.0,392,31.0,182.0,0
31,1284,5165,19874400.0,7,357.0,182.0,1
32,452,6054,510510.0,97,15.0,64.0,0
33,96,6714,105300.0,393,352.0,22.0,0
34,405,5357,364905.0,68,50.0,90.0,1
35,1266,5128,5618160.0,737,,166.0,0
36,1357,4824,103950.0,29,29.0,57.0,1
37,771,6912,599880.0,22,,60.0,0
38,771,7093,1154600.0,110,,60.0,0
39,771,6910,571800.0,22,,60.0,0
40,771,6415,1033200.0,110,,60.0,0
41,771,1393,20280.0,223,,60.0,0
42,771,1477,1033200.0,223,,60.0,0
43,771,1476,1142120.0,223,,60.0,0
44,771,6167,470400.0,110,,60.0,0
45,869,7875,9809800.0,113,92.0,182.0,0
46,754,3182,2106750.0,391,19.0,75.0,1
47,946,3662,629145.0,286,22.0,141.0,0
48,1477,5919,109760.0,33,91.0,51.0,1
49,1474,5889,304200.0,182,121.0,182.0,0
50,1474,5890,500500.0,115,30.0,182.0,0
51,1373,3265,17550.0,101,91.0,46.0,0
52,1375,5585,13438632.9,37,182.0,121.0,0
53,895,1209,12852000.0,0,60.0,18.0,1
54,895,1525,29478000.0,0,365.0,64.0,1
55,895,1404,33916530.0,16,55.0,91.0,1
56,895,6985,37454400.0,0,365.0,71.0,1
57,890,8387,37999000.0,16,15.0,60.0,1
58,450,5824,28918400.0,17,7.0,50.0,1
59,982,4798,515812.5,98,21.0,91.0,0
60,62,4836,107250.0,311,26.0,74.0,1
61,574,6844,14469907.2,427,,366.0,0
62,1586,1790,463446.9,273,,213.0,0
63,1586,1938,463446.9,273,,213.0,0
64,1586,4096,463446.9,273,,213.0,0
65,1586,5527,463446.9,273,,213.0,0
66,1586,7455,463446.9,273,,213.0,0
67,1586,7453,463446.9,273,,213.0,0
68,1586,7457,463446.9,273,,213.0,0
69,1586,7106,463446.9,273,,213.0,0
70,1586,7334,463446.9,273,,213.0,0
71,1586,4333,463446.9,273,,213.0,0
72,1586,1943,463446.9,273,,213.0,0
73,1586,7456,485515.8,273,,186.0,0
74,1586,7452,485515.8,273,,193.0,0
75,1586,5526,485515.8,273,,200.0,0
76,1586,1789,485515.8,273,,214.0,0
77,1586,7454,485515.8,273,,228.0,0
78,1586,4695,485515.8,273,,235.0,0
79,1586,9007,485515.8,273,,242.0,0
80,1586,1764,485515.8,273,,263.0,0
81,1586,1937,485515.8,273,,256.0,0
82,1586,3288,485515.8,273,,263.0,0
83,1586,4154,485515.8,273,,270.0,0
84,1586,353,485515.8,273,,277.0,0
85,1586,5335,485515.8,273,,291.0,0
86,1586,1932,485515.8,273,,319.0,0
87,1586,677,485515.8,273,,333.0,0
88,1190,1853,107250.0,0,365.0,55.0,0
89,723,1611,96460.0,68,60.0,74.0,0
90,1190,1861,65520.0,0,357.0,46.0,1
91,241,2124,245700.0,1,15.0,67.0,1
92,241,2123,210600.0,1,15.0,30.0,1
93,241,2128,108318.75,75,15.0,90.0,0
94,643,1086,1332347.5,280,22.0,113.0,0
95,1582,7774,429000.0,13,36.0,12.0,1
96,1582,7775,478125.0,13,36.0,29.0,1
97,859,7777,12376000.0,13,29.0,8.0,1
98,859,7780,24276000.0,13,29.0,8.0,1
99,859,7784,24752000.0,13,29.0,32.0,1
100,859,7785,12376000.0,13,29.0,36.0,1
101,460,8684,9045400.0,12,91.0,60.0,1
102,460,8938,9900000.0,12,91.0,71.0,1
103,460,7666,390050.0,13,91.0,15.0,1
104,183,495,71061120.0,13,36.0,60.0,1
105,183,7087,14804400.0,547,,60.0,0
106,450,9618,13008800.0,13,7.0,18.0,1
107,450,9621,13263600.0,13,7.0,32.0,1
108,582,8094,147646.8,93,91.0,127.0,1
109,859,7781,897000.0,334,5.0,12.0,1
110,859,7782,645840.0,334,5.0,13.0,1
111,1613,7110,256848.75,334,35.0,39.0,1
112,1543,9341,99450.0,333,28.0,43.0,1
113,1190,1843,835380.0,333,29.0,121.0,0
114,541,889,1462500.0,333,32.0,121.0,0
115,1353,2366,527962.5,517,157.0,191.0,0
116,201,7573,9676209.39,333,91.0,197.0,0
117,771,2037,422720.0,333,,91.0,0
118,771,7123,992120.0,333,,91.0,0
119,771,6414,1426720.0,333,,91.0,0
120,771,7649,2437600.0,333,,91.0,0
121,771,7583,6085640.0,333,,91.0,0
122,771,2003,548200.0,333,,91.0,0
123,1158,9315,22950.0,333,6.0,6.0,1
124,771,6532,543000.0,333,131.0,140.0,1
125,771,7377,680000.0,333,77.0,85.0,1
126,771,7536,869840.0,333,,91.0,0
127,1158,7099,3825.0,333,8.0,15.0,1
128,369,9317,221650.0,333,60.0,91.0,0
129,859,8741,12376000.0,333,364.0,5.0,1
130,859,8742,12376000.0,333,364.0,12.0,1
131,859,8743,12376000.0,333,15.0,18.0,1
132,859,8744,24752000.0,333,29.0,22.0,1
133,1302,5237,83125.0,333,182.0,134.0,1
134,859,8745,24276000.0,333,29.0,19.0,1
135,1284,5172,9523200.0,332,38.0,274.0,0
136,375,9674,1190227.5,332,36.0,104.0,0
137,771,5472,701040.0,332,,91.0,0
138,771,1148,811160.0,332,40.0,91.0,1
139,771,1660,576680.0,332,,91.0,0
140,771,1410,2540880.0,332,,91.0,0
141,771,1411,3246500.0,332,84.0,92.0,1
142,771,6919,523560.0,332,,91.0,0
143,771,3324,5600640.0,332,,91.0,0
144,771,1474,1117200.0,332,130.0,134.0,1
145,771,643,847000.0,332,15.0,18.0,1
146,771,6281,925200.0,332,,91.0,0
147,771,6280,605240.0,332,,91.0,0
148,771,6917,714440.0,332,13.0,19.0,1
149,331,2606,2598960.0,332,,113.0,0
150,292,9417,4375800.0,332,74.0,182.0,0
151,1033,4428,101250.0,332,15.0,15.0,1
152,1033,4429,101250.0,331,15.0,30.0,1
153,859,8747,48552000.0,331,29.0,,1
154,41,329,278850.0,331,60.0,91.0,0
155,859,7778,20808000.0,331,29.0,34.0,1
156,771,6909,1147800.0,331,104.0,116.0,1
157,1292,938,5012475.0,331,32.0,213.0,0
158,1292,943,5999500.0,331,32.0,212.0,0
159,573,892,851760.0,331,,335.0,0
160,1375,5583,1167855.0,331,91.0,60.0,0
161,472,533,20655.0,331,91.0,29.0,1
162,801,1674,1856855.0,331,91.0,75.0,0
163,1613,4466,487305.0,328,41.0,81.0,1
164,1500,2297,789534.38,328,,263.0,0
165,1155,4717,114982.5,328,106.0,113.0,0
166,522,7082,8453250.0,327,29.0,61.0,1
167,1421,5729,137800.0,883,106.0,119.0,0
168,1577,4647,795106.0,363,,182.0,0
169,33,6645,120900.0,326,49.0,81.0,0
170,460,8883,19800000.0,326,91.0,64.0,1
171,566,748,152490.0,326,,182.0,0
172,1220,9107,744120.0,326,,152.0,0
173,862,9239,1614990.0,326,,120.0,0
174,859,7788,12376000.0,325,29.0,56.0,1
175,1220,9126,307125.0,325,44.0,91.0,1
176,1194,9104,2795520.0,325,,90.0,0
177,751,1459,1603050.75,325,60.0,176.0,0
178,751,1460,1051430.63,325,60.0,183.0,0
179,1357,4799,106010.0,324,64.0,91.0,1
180,822,4505,3745267.5,324,91.0,60.0,0
181,796,2147,2552550.0,324,,91.0,0
182,1579,2185,173075.0,324,,116.0,0
183,1295,2171,261820.0,323,30.0,90.0,0
184,1295,2176,258375.0,323,90.0,121.0,1
185,1295,2177,275600.0,323,30.0,91.0,0
186,1295,2172,62010.0,323,53.0,46.0,1
187,1295,2167,106535.63,323,140.0,112.0,1
188,771,1910,636550.0,321,18.0,22.0,1
189,136,7311,46020.0,321,91.0,46.0,1
190,1144,9149,561600.0,321,32.0,280.0,0
191,62,4835,102187.5,321,29.0,67.0,0
192,62,4837,122850.0,321,32.0,81.0,1
193,1420,6364,137800.0,321,30.0,182.0,0
194,1239,7606,135000.0,359,25.0,39.0,1
195,1516,6099,5504812.5,320,57.0,72.0,0
196,183,8443,57230.0,343,60.0,29.0,1
197,1220,9091,175950.0,320,232.0,239.0,1
198,1220,9127,159120.0,320,,148.0,0
199,724,1318,133875.0,319,34.0,76.0,0
200,1402,590,122850.0,319,29.0,43.0,1
201,1402,589,136500.0,319,29.0,70.0,1
202,1409,5528,645564.38,319,60.0,62.0,0
203,1477,5900,219520.0,319,91.0,67.0,1
204,4,2733,103350.0,319,29.0,43.0,0
205,885,6738,2474901.0,319,76.0,148.0,0
206,885,1667,14316918.0,392,259.0,274.0,1
207,572,4171,187.6,318,20.0,20.0,1
208,279,5420,2131545.0,318,32.0,148.0,0
209,1613,2181,931612.5,317,74.0,116.0,0
210,984,2168,0.0,317,,152.0,0
211,771,6730,2908960.0,317,,91.0,0
212,771,6731,3815880.0,317,,91.0,0
213,771,6374,810400.0,317,,120.0,0
214,771,7587,810400.0,317,,120.0,0
215,771,7588,1071480.0,317,,120.0,0
216,771,6520,5923880.0,317,,120.0,0
217,771,6541,6011180.0,317,,120.0,0
218,771,6330,468120.0,317,,120.0,0
219,632,9613,4231.5,317,33.0,95.0,0
220,955,1069,28462.5,317,244.0,178.0,1
221,728,7591,836000.0,317,22.0,25.0,1
222,771,2018,645960.0,317,,120.0,0
223,771,624,577320.0,317,,120.0,0
224,437,4097,103350.0,317,53.0,91.0,1
225,322,2395,1816100.0,317,59.0,182.0,0
226,771,513,496200.0,317,,120.0,0
227,322,2396,2695550.0,317,88.0,263.0,0
228,771,1909,617880.0,317,,120.0,0
229,771,7510,536760.0,317,,120.0,0
230,771,1475,1123400.0,317,,120.0,0
231,347,9690,2702700.0,317,,,0
232,1345,4549,92820.0,317,25.0,29.0,1
233,1195,6749,105300.0,317,52.0,78.0,0
234,1206,2183,95294.0,316,91.0,221.0,0
235,1071,6153,30000.0,314,25.0,29.0,1
236,1158,4746,22950.0,314,30.0,43.0,1
