Opportunity_ID,Target
10689,0.5666666666666665
10690,0.47000000000000003
10691,1.0
10692,0.7083333333333334
10693,0.95
10694,0.95
10695,0.9499999999999998
10696,0.95
10697,1.0
10698,1.0
10699,1.0
10700,1.0
10701,1.0
10702,1.0
10703,1.0
10704,1.0
10705,0.85
10706,0.7
10707,0.55
10708,0.85
10709,1.0
10710,0.9
10711,0.85
10712,0.95
10713,0.85
10714,0.7
10715,0.95
10716,0.65
10717,0.9
10718,1.0
10719,0.9
10720,0.8
10721,0.7
10722,0.8
10723,0.9
10724,0.9
10725,1.0
10726,0.8
10727,0.8
10728,1.0
10729,0.75
10730,1.0
10731,0.0
10732,0.75
10733,0.75
10734,0.85
10735,0.9
10736,0.9
10737,1.0
10738,0.95
10739,0.55
10740,0.9
10741,0.9
10742,0.875
10743,1.0
10744,1.0
10745,1.0
10746,1.0
10747,1.0
10748,0.975
10749,1.0
10750,0.85
10751,0.95
10752,0.95
10753,0.8
10754,0.8416666666666667
10755,0.9
10756,0.85
10757,0.0
10758,0.0375
10759,0.0
10760,0.1
10761,0.9
10762,0.6
10763,0.7
10764,1.0
10765,0.05
10766,0.8
10767,0.8666666666666667
10768,0.55
10769,0.45
10770,0.65
10771,0.0
10772,0.575
10773,0.45
10774,0.2
10775,0.05
10776,0.5
10777,0.65
10778,0.85
10779,0.8333333333333334
10780,0.7
10781,0.65
10782,0.55
10783,0.25
10784,0.7
10785,0.85
10786,0.0
10787,0.6
10788,0.65
10789,0.4
10790,0.8
10791,0.5
10792,0.8
10793,0.95
10794,0.95
10795,1.0
10796,0.75
10797,0.9
10798,0.9
10799,0.6125
10800,0.8
10801,0.3
10802,0.9
10803,0.024999999999999998
10804,0.7772727272727273
10805,0.0
10806,0.7833333333333333
10807,0.5
10808,0.79
10809,0.65
10810,0.3
10811,0.0
10812,0.575
10813,0.1
10814,0.15
10815,0.5
10816,0.55
10817,0.2
10818,0.95
10819,0.0
10820,0.75
10821,0.0
10822,0.03333333333333333
10823,0.85
10824,0.0
10825,0.55
10826,0.625
10827,0.7
10828,1.0
10829,0.8833333333333333
10830,0.65
10831,0.55
10832,0.35
10833,0.55
10834,0.0
10835,0.4166666666666667
10836,0.85
10837,0.95
10838,1.0
10839,0.0
10840,0.3
10841,0.0
10842,0.35
10843,0.35
10844,0.6
10845,0.9833333333333334
10846,0.4
10847,0.55
10848,0.0
10849,0.45
10850,0.65
10851,0.5
10852,0.4
10853,0.675
10854,0.825
10855,0.725
10856,0.8
10857,0.475
10858,0.55
10859,0.0
10860,0.25
10861,0.1
10862,0.55
10863,0.3
10864,1.0
10865,0.9
10866,0.2
10867,0.2
10868,0.775
10869,0.2
10870,0.45
10871,1.0
10872,0.1
10873,0.25
10874,0.9
10875,0.8
10876,0.8
10877,0.55
10878,0.75
10879,0.6
10880,0.6
10881,0.9
10882,0.1
10883,0.65
10884,0.75
10885,0.65
10886,0.5
10887,0.55
10888,0.85
10889,0.625
10890,0.85
10891,1.0
10892,0.625
10893,0.0
10894,1.0
10895,0.85
10896,0.6666666666666666
10897,0.7
10898,0.1
10899,0.2
10900,1.0
10901,0.8
10902,0.85
10903,0.0
10904,0.8
10905,0.95
10906,0.7
10907,1.0
10908,0.15
10909,0.95
10910,0.0
10911,0.85
10912,0.5
10913,0.8625
10914,0.0
10915,0.9
10916,0.95
10917,0.7
10918,1.0
10919,0.35
10920,0.8
10921,0.7
10922,0.55
10923,0.25
10924,0.7
10925,1.0
10926,0.0
10927,0.0
10928,0.85
10929,0.6
10930,0.7250000000000001
10931,0.8
10932,1.0
10933,0.6
10934,0.75
10935,0.35
10936,0.65
10937,0.0
10938,0.05
10939,0.575
10940,0.9
10941,0.0
10942,0.0
10943,0.0
10944,0.1
10945,0.25
10946,0.65
10947,1.0
10948,0.35
10949,1.0
10950,0.0
10951,0.0
10952,0.65
10953,0.15
10954,0.6
10955,0.7
10956,0.55
10957,0.7
10958,0.55
10959,0.3
10960,0.9
10961,0.65
10962,0.0
10963,0.0
10964,1.0
10965,0.4
10966,0.65
10967,0.85
10968,0.0
10969,0.85
10970,0.35
10971,0.43333333333333335
10972,1.0
10973,0.325
10974,0.4
10975,0.8166666666666668
10976,0.6
10977,0.85
10978,0.8
10979,0.45
10980,0.4
10981,0.4
10982,0.75
10983,0.7
10984,0.10000000000000002
10985,0.0
10986,0.7
10987,0.675
10988,0.55
10989,0.3
10990,0.1
10991,0.1
10992,0.0
10993,1.0
10994,0.0
10995,0.4
10996,0.45
10997,0.2
10998,1.0
10999,0.55
11000,0.0
11001,0.35
11002,0.45
11003,0.0
11004,0.9
11005,0.15
11006,0.45625000000000004
11007,0.6
11008,0.2
11009,0.6
11010,0.9
11011,0.45
11012,0.375
11013,0.125
11014,0.7166666666666667
11015,0.35
11016,0.0
11017,0.95
11018,0.2
11019,0.75
11020,0.35
11021,0.65
11022,0.7333333333333333
11023,1.0
11024,0.45
11025,0.6
11026,0.6
11027,0.6
11028,0.05
11029,0.95
11030,0.35
11031,0.8
11032,0.4
11033,0.85
11034,0.05000000000000001
11035,0.15
11036,0.9
11037,0.65
11038,0.45
11039,0.625
11040,0.0
11041,1.0
11042,0.6
11043,1.0
11044,0.25
11045,0.0
11046,0.7
11047,0.8
11048,0.55
11049,0.3
11050,0.8
11051,0.85
11052,0.05
11053,0.0
11054,0.0
11055,0.25
11056,0.0
11057,0.55
11058,0.05
11059,0.3
11060,0.42500000000000004
11061,0.4
11062,0.15
