Opportunity_ID,Target
10689,0.6533333333333333
10690,0.608
10691,0.84
10692,0.45333333333333337
10693,0.76
10694,0.76
10695,0.88
10696,0.88
10697,0.96
10698,0.76
10699,0.76
10700,0.96
10701,0.88
10702,0.76
10703,0.8000000000000002
10704,0.96
10705,0.76
10706,0.78
10707,0.4
10708,0.44
10709,0.88
10710,0.84
10711,0.64
10712,0.6
10713,0.8
10714,0.76
10715,0.72
10716,0.8
10717,0.72
10718,0.92
10719,0.84
10720,0.76
10721,0.8
10722,0.48
10723,0.8
10724,0.56
10725,0.92
10726,0.96
10727,0.8
10728,0.92
10729,0.52
10730,0.76
10731,0.0
10732,0.76
10733,0.76
10734,0.68
10735,0.84
10736,0.64
10737,0.96
10738,0.84
10739,0.64
10740,0.84
10741,0.88
10742,0.88
10743,0.92
10744,0.92
10745,0.92
10746,0.92
10747,0.92
10748,0.96
10749,0.92
10750,0.85
10751,0.68
10752,0.68
10753,0.68
10754,0.6533333333333334
10755,0.64
10756,0.68
10757,0.0
10758,0.005
10759,0.0
10760,0.32
10761,0.76
10762,0.72
10763,0.64
10764,0.96
10765,0.08
10766,0.56
10767,0.6933333333333334
10768,0.4
10769,0.52
10770,0.32
10771,0.0
10772,0.6599999999999999
10773,0.48
10774,0.48
10775,0.16
10776,0.6
10777,0.56
10778,0.84
10779,0.5066666666666667
10780,0.72
10781,0.56
10782,0.44
10783,0.16
10784,0.76
10785,0.8
10786,0.0
10787,0.68
10788,0.56
10789,0.52
10790,0.76
10791,0.6799999999999999
10792,0.72
10793,0.96
10794,0.96
10795,0.96
10796,0.56
10797,0.8
10798,0.6
10799,0.2
10800,0.63
10801,0.16
10802,0.68
10803,0.06666666666666667
10804,0.6690909090909091
10805,0.02
10806,0.5866666666666668
10807,0.52
10808,0.40800000000000003
10809,0.6
10810,0.04
10811,0.0
10812,0.74
10813,0.04
10814,0.04
10815,0.48
10816,0.6
10817,0.12
10818,0.6
10819,0.0
10820,0.42000000000000004
10821,0.0
10822,0.05333333333333334
10823,0.64
10824,0.0
10825,0.32
10826,0.6000000000000001
10827,0.88
10828,0.96
10829,0.6133333333333334
10830,0.6
10831,0.72
10832,0.44
10833,0.28
10834,0.0
10835,0.4000000000000001
10836,0.72
10837,0.8
10838,0.88
10839,0.0
10840,0.44
10841,0.08
10842,0.4
10843,0.48
10844,0.44
10845,0.7066666666666667
10846,0.68
10847,0.64
10848,0.0
10849,0.6
10850,0.6
10851,0.4
10852,0.72
10853,0.6000000000000001
10854,0.76
10855,0.6
10856,0.68
10857,0.52
10858,0.5800000000000001
10859,0.0
10860,0.24
10861,0.06
10862,0.48
10863,0.36
10864,1.0
10865,0.8600000000000001
10866,0.12
10867,0.2
10868,0.72
10869,0.24
10870,0.68
10871,1.0
10872,0.04
10873,0.12
10874,0.6666666666666666
10875,0.52
10876,0.66
10877,0.48
10878,0.76
10879,0.36
10880,0.36
10881,0.68
10882,0.36
10883,0.6
10884,0.6
10885,0.6
10886,0.4
10887,0.52
10888,0.76
10889,0.7
10890,0.76
10891,0.96
10892,0.78
10893,0.24
10894,0.96
10895,0.76
10896,0.6
10897,0.56
10898,0.08
10899,0.24
10900,0.9
10901,0.96
10902,0.6
10903,0.04
10904,0.8
10905,0.8
10906,0.88
10907,0.92
10908,0.24
10909,0.76
10910,0.0
10911,0.84
10912,0.48
10913,0.68
10914,0.0
10915,0.68
10916,0.28
10917,0.48
10918,0.92
10919,0.44
10920,0.56
10921,0.68
10922,0.6
10923,0.44
10924,0.92
10925,0.9199999999999999
10926,0.04
10927,0.0
10928,0.8
10929,0.4
10930,0.39
10931,0.52
10932,0.88
10933,0.52
10934,0.36
10935,0.64
10936,0.42000000000000004
10937,0.04
10938,0.16
10939,0.48
10940,0.6266666666666668
10941,0.0
10942,0.0
10943,0.04
10944,0.08
10945,0.2
10946,0.48
10947,0.96
10948,0.32
10949,0.92
10950,0.0
10951,0.0
10952,0.44
10953,0.2
10954,0.36
10955,0.56
10956,0.44
10957,0.6
10958,0.48
10959,0.0
10960,0.84
10961,0.76
10962,0.0
10963,0.0
10964,0.68
10965,0.0
10966,0.72
10967,0.92
10968,0.0
10969,0.88
10970,0.36
10971,0.44
10972,0.8333333333333334
10973,0.26166666666666677
10974,0.56
10975,0.7066666666666667
10976,0.72
10977,0.68
10978,0.76
10979,0.64
10980,0.24
10981,0.24
10982,0.56
10983,0.52
10984,0.08
10985,0.0
10986,0.6
10987,0.56
10988,0.44
10989,0.2
10990,0.16
10991,0.12
10992,0.04
10993,0.96
10994,0.0
10995,0.4
10996,0.4
10997,0.28
10998,0.92
10999,0.75
11000,0.0
11001,0.24
11002,0.48
11003,0.0
11004,0.76
11005,0.44
11006,0.545
11007,0.94
11008,0.12
11009,0.72
11010,0.76
11011,0.4
