Opportunity_ID,Target
10689,0.9466666666666667
10690,0.8800000000000001
10691,0.6
10692,0.8733333333333334
10693,1.0
10694,1.0
10695,0.7600000000000001
10696,0.8
10697,0.72
10698,0.76
10699,0.944
10700,0.64
10701,0.7200000000000001
10702,0.76
10703,0.68
10704,0.92
10705,0.98
10706,0.30000000000000004
10707,0.48
10708,0.72
10709,0.64
10710,0.84
10711,0.84
10712,0.88
10713,0.76
10714,0.52
10715,0.84
10716,0.64
10717,0.96
10718,0.68
10719,0.88
10720,0.24
10721,0.52
10722,0.32
10723,0.56
10724,0.84
10725,0.88
10726,0.76
10727,0.6
10728,0.4
10729,0.76
10730,0.64
10731,0.08
10732,0.68
10733,0.6
10734,0.4
10735,1.0
10736,0.92
10737,0.76
10738,0.76
10739,0.44
10740,0.28
10741,0.8
10742,0.64
10743,0.84
10744,0.88
10745,0.88
10746,0.88
10747,0.88
10748,0.74
10749,0.68
10750,0.81
10751,0.76
10752,0.76
10753,0.56
10754,0.82
10755,0.96
10756,0.84
10757,0.36
10758,0.305
10759,0.0
10760,0.56
10761,0.96
10762,0.92
10763,0.76
10764,0.92
10765,0.08
10766,0.92
10767,0.88
10768,0.56
10769,0.6
10770,0.64
10771,0.0
10772,0.72
10773,0.36
10774,0.32
10775,0.44
10776,0.4
10777,0.8
10778,0.84
10779,0.84
10780,0.84
10781,0.8
10782,0.44
10783,0.64
10784,0.6799999999999999
10785,1.0
10786,0.0
10787,0.8266666666666668
10788,0.52
10789,0.6
10790,0.64
10791,0.72
10792,0.92
10793,0.88
10794,0.88
10795,0.92
10796,0.5828571428571429
10797,0.48
10798,0.6
10799,0.32
10800,0.08
10801,0.18666666666666668
10802,0.32
10803,0.0
10804,0.8545454545454546
10805,0.32
10806,0.7733333333333333
10807,0.08
10808,0.2
10809,0.32
10810,0.0
10811,0.0
10812,0.76
10813,0.0
10814,0.0
10815,0.72
10816,0.68
10817,0.04
10818,0.8
10819,0.0
10820,0.56
10821,0.04
10822,0.04
10823,0.88
10824,0.0
10825,0.72
10826,0.5800000000000001
10827,0.96
10828,0.84
10829,0.5599999999999999
10830,0.0
10831,0.36
10832,0.48
10833,0.2
10834,0.04
10835,0.17333333333333334
10836,1.0
10837,0.84
10838,0.0
10839,0.0
10840,0.32
10841,0.0
10842,0.32
10843,0.32
10844,0.84
10845,0.88
10846,0.76
10847,0.72
10848,0.0
10849,0.8
10850,0.76
10851,0.0
10852,0.72
10853,0.92
10854,0.8
10855,0.72
10856,0.84
10857,0.6
10858,0.9199999999999999
10859,0.16
10860,0.0
10861,0.08
10862,0.32
10863,0.0
10864,1.0
10865,0.9199999999999999
10866,0.32
10867,0.24
10868,0.6000000000000001
10869,0.0
10870,0.68
10871,1.0
10872,0.08
10873,0.16
10874,0.8933333333333334
10875,0.74
10876,0.78
10877,0.6
10878,0.8
10879,0.48
10880,0.0
10881,0.84
10882,0.4
10883,0.0
10884,0.0
10885,0.52
10886,0.48
10887,0.24
10888,0.72
10889,0.88
10890,0.72
10891,0.84
10892,0.88
10893,0.0
10894,0.92
10895,0.6
10896,0.92
10897,0.92
10898,0.4
10899,0.24
10900,0.02
10901,0.92
10902,0.24
10903,0.0
10904,0.88
10905,0.8
10906,0.88
10907,0.68
10908,0.0
10909,0.96
10910,0.04
10911,0.96
10912,0.44
10913,0.94
10914,0.065
10915,0.96
10916,0.24
10917,0.68
10918,0.92
10919,0.32
10920,0.72
10921,0.0
10922,0.16
10923,0.8
10924,0.92
10925,0.8999999999999999
10926,0.24
10927,0.04
10928,0.84
10929,0.8
10930,0.71
10931,0.76
10932,0.8
10933,0.0
10934,0.76
10935,0.24
10936,0.66
10937,0.08
10938,0.16
10939,0.6200000000000001
10940,0.56
10941,0.0
10942,0.0
10943,0.0
10944,0.04
10945,0.88
10946,0.96
10947,0.0
10948,0.68
10949,0.84
10950,0.0
10951,0.12
10952,0.92
10953,0.32
10954,0.92
10955,0.76
10956,0.8
10957,0.76
10958,0.8
10959,0.04
10960,0.84
10961,0.44
10962,0.0
10963,0.12
10964,0.5800000000000001
10965,0.04
10966,0.72
10967,0.9199999999999999
10968,0.08
10969,0.76
10970,0.2
10971,0.18666666666666668
10972,0.52
10973,0.02333333333333333
10974,0.76
10975,0.8133333333333334
10976,0.92
10977,0.64
10978,0.92
10979,0.88
10980,0.24
10981,0.24
10982,0.48
10983,0.36
10984,0.0
10985,0.08
10986,0.92
10987,0.92
10988,0.02
10989,0.36
10990,0.56
10991,0.2
10992,0.0
10993,0.9
10994,0.0
10995,0.64
10996,0.6
10997,0.4
10998,1.0
10999,0.6900000000000001
11000,0.04
11001,0.2
11002,0.0
11003,0.0
11004,0.96
11005,0.2
11006,0.65
11007,0.92
11008,0.2
11009,0.88
11010,0.92
11011,0.28
11012,0.78
11013,0.0
11014,0.8133333333333334
11015,0.76
11016,0.04
11017,0.84
11018,0.08
11019,0.76
11020,0.0
11021,0.96
11022,0.25333333333333335
11023,0.28
11024,0.68
11025,0.8
11026,0.8
11027,0.96
11028,0.56
11029,0.88
11030,0.64
11031,0.88
11032,0.36
11033,0.96
11034,0.05333333333333334
11035,0.0
11036,0.44
11037,0.76
11038,0.48
11039,0.8200000000000001
11040,0.28
11041,0.84
11042,0.28
11043,0.0
11044,0.76
11045,0.04
11046,0.52
11047,0.28
11048,0.28
11049,0.08
11050,0.68
11051,0.64
11052,0.12
11053,0.12
11054,0.27
11055,0.72
11056,0.0
11057,0.7866666666666667
11058,0.08
11059,0.12
11060,0.14
11061,0.44
11062,0.04
11063,0.96
11064,0.96
11065,0.88
11066,0.6
11067,0.6
11068,0.88
11069,0.0
11070,0.26
11071,0.0
11072,0.64
11073,0.88
11074,0.0
11075,0.68
11076,0.96
11077,0.0
11078,0.72
11079,0.6
11080,0.2
11081,0.4
11082,0.06
11083,0.08
11084,0.12
11085,0.44
11086,0.95
11087,0.9199999999999999
11088,0.0
11089,0.0
11090,0.0
11091,0.74
11092,0.7333333333333334
11093,0.8
11094,0.2
11095,0.92
11096,0.92
11097,0.29333333333333333
11098,0.2
11099,1.0
11100,1.0
11101,0.8
11102,0.48
11103,0.12
11104,0.68
11105,0.8
11106,0.12
11107,0.08
11108,0.94
11109,0.92
11110,0.88
11222,0.6
11223,0.84
11224,0.84
11225,0.0
11226,0.52
11227,0.0
11228,0.8
11229,0.84
11230,0.8
11231,0.52
11232,0.48
11233,0.94
11234,0.8
11235,0.0
11236,0.8222222222222222
11237,0.4
11238,0.88
11239,0.4
11240,0.08
11241,0.96
11242,0.8
11243,0.28
11244,0.2
11245,0.78
11246,0.0
11247,0.8
11248,0.38909090909090904
11249,0.92
11250,0.56
11251,0.8
11252,0.32
11253,0.9
11254,0.32
11255,0.64
11256,0.88
11257,0.4
11258,0.0
11259,0.84
11260,0.7733333333333334
11261,0.72
11262,0.7
11263,0.84
11264,0.84
11265,0.0
11266,0.2
11267,0.68
11268,0.2
11269,0.0
11270,0.44
11271,0.04
11272,0.44
11273,0.7466666666666667
11274,0.7
11275,0.7333333333333334
11276,0.92
11277,0.92
11278,0.0
11279,0.04
11280,0.6119999999999999
11281,0.64
11282,0.48
11283,0.28
11284,0.0
11285,0.4
11286,0.16
11287,0.92
11288,0.76
11289,0.28
11290,0.6
11291,0.24
11292,0.16
11293,0.92
11294,0.3333333333333333
11295,0.12
11296,0.0
11297,0.0
11298,0.44
11299,0.88
11300,0.0
11301,0.6
11302,0.64
11303,0.48
11304,0.52
11305,0.32
11306,0.0
11307,0.0
11308,0.92
11309,0.9199999999999999
11310,0.36
11311,0.68
11312,0.52
11313,0.36
11314,0.0
11315,0.56
11316,0.76
11317,0.72
11318,0.52
11319,0.8
11320,0.8
11321,0.76
11322,0.84
11323,0.8
11324,0.88
11325,0.0
11326,0.2
11327,0.0
11328,0.88
11329,0.04
11330,0.2
11331,0.0
11332,0.8400000000000001
11333,0.56
11334,0.92
11335,0.78
11336,0.56
11337,0.32
11338,0.76
11339,0.56
11340,0.36
11341,0.04
11342,0.89
11343,0.88
11344,0.28
11345,0.88
11346,0.0
11347,0.42000000000000004
11348,0.96
11349,0.64
11350,0.12
11351,0.0
11352,0.6599999999999999
11353,0.64
11354,0.02
11355,0.16
11356,0.68
11357,0.7333333333333334
11358,0.2
11359,0.16
11360,0.12
11361,0.76
11362,0.56
11363,0.16
11364,0.0
11365,0.68
11366,0.76
11367,0.09333333333333334
11368,0.8400000000000001
11369,0.0
11370,0.68
11371,0.5
11372,0.8200000000000001
11373,0.04
11374,0.84
11375,1.0
11376,0.04
11377,0.2
11378,0.08
11379,0.72
11380,0.6
11381,0.0
11382,0.8
11383,0.9199999999999999
11384,0.64
11385,0.0
11386,0.68
11387,0.48
11388,0.88
11389,0.04
11390,0.0
11391,0.0
11392,0.0
11393,0.24
11394,0.36
11395,0.52
11396,0.92
11397,0.04
11398,0.64
11399,0.36
11400,0.76
11401,0.33999999999999997
11402,0.2
11403,0.16
11404,0.06
11405,0.08
11406,0.0
11407,0.8355555555555555
11408,0.35999999999999993
11409,0.22000000000000003
11410,0.21999999999999997
11411,0.28
11412,0.96
11413,0.8600000000000001
11414,1.0
11415,0.0
11416,0.76
11417,0.8
11418,0.56
11419,0.9333333333333332
11420,0.16
11421,0.4
11422,0.28
11423,0.36
11424,1.0
11425,0.9466666666666667
11426,0.96
11427,0.28
11428,0.28
11429,0.28
11430,0.32
11431,0.32
11432,0.32
11433,0.24
11434,0.24
11435,0.8
11436,0.04
11437,0.64
11438,0.56
11439,0.9
11440,0.88
11441,0.88
11442,0.04
11443,0.08
11444,0.2
11445,1.0
11446,1.0
11447,0.16
11448,0.08
11449,0.24
11450,0.2
11451,0.12
11452,0.12
11453,0.28
11454,0.13333333333333333
11455,0.0
11456,0.48
11457,0.0
11458,0.24000000000000005
11459,0.36
11460,0.48
11461,0.5800000000000001
11462,0.5800000000000001
11463,0.56
11464,0.5800000000000001
11465,0.56
11466,0.48
11467,0.48000000000000004
11468,0.52
11469,0.02
11470,0.76
11471,0.6
11472,0.36
11473,0.7
11474,0.32
11475,0.84
11476,0.08
11477,0.9199999999999999
11478,1.0
11479,0.76
11480,0.0
11481,0.2
11482,0.16
11483,0.28
11484,0.2
11485,0.0
11486,0.2
11487,0.0
11488,0.8
11489,0.96
11490,0.8133333333333334
11491,0.7200000000000001
11492,0.5733333333333334
11493,0.6933333333333334
11494,0.64
11495,0.44
11496,0.04
11497,0.92
11498,0.0
11499,0.92
11500,0.92
11501,0.76
11502,0.44999999999999996
11503,0.96
11504,0.48
11505,0.8266666666666667
11506,0.64
11507,0.08
11508,0.88
11509,1.0
11510,0.24
11511,0.96
11512,0.92
11513,1.0
11514,0.96
11515,0.4
11516,0.56
11517,0.68
11518,0.0
11519,0.0
11520,0.6
11521,0.96
11522,0.8
11523,0.12
11524,1.0
11525,1.0
11526,1.0
11527,1.0
11528,1.0
11529,0.0
11530,0.04
11531,0.0
11532,0.56
11533,0.32
11534,0.0
11535,0.12
11536,0.8
11537,0.76
11538,0.04
11539,0.38
11540,0.84
11541,0.0
11542,0.0
11543,0.44
11544,0.84
11545,0.32
11546,0.288
