Opportunity_ID,Target
10689,0.9866666666666667
10690,0.6880000000000001
10691,0.96
10692,0.31333333333333335
10693,1.0
10694,1.0
10695,0.96
10696,0.76
10697,1.0
10698,0.76
10699,0.9200000000000002
10700,0.7600000000000001
10701,0.7600000000000001
10702,0.76
10703,0.7600000000000001
10704,0.96
10705,1.0
10706,0.88
10707,0.36
10708,0.52
10709,0.64
10710,0.84
10711,0.84
10712,0.96
10713,0.84
10714,0.88
10715,0.96
10716,0.76
10717,0.8
10718,0.76
10719,0.88
10720,0.56
10721,0.88
10722,0.8
10723,0.8
10724,0.68
10725,0.76
10726,1.0
10727,0.68
10728,0.96
10729,0.64
10730,1.0
10731,0.0
10732,0.76
10733,0.96
10734,0.64
10735,1.0
10736,0.64
10737,1.0
10738,0.88
10739,0.68
10740,0.76
10741,1.0
10742,0.86
10743,0.76
10744,0.76
10745,0.76
10746,0.72
10747,0.72
10748,0.88
10749,1.0
10750,0.76
10751,0.76
10752,0.76
10753,0.88
10754,0.37999999999999995
10755,0.64
10756,0.88
10757,0.0
10758,0.04
10759,0.0
10760,0.2
10761,0.84
10762,0.96
10763,0.92
10764,0.92
10765,0.08
10766,0.92
10767,0.92
10768,0.56
10769,0.32
10770,0.36
10771,0.0
10772,0.32
10773,0.28
10774,0.32
10775,0.2
10776,0.44
10777,0.4
10778,0.92
10779,0.49333333333333335
10780,1.0
10781,0.92
10782,0.4
10783,0.16
10784,0.8
10785,0.56
10786,0.0
10787,0.9733333333333333
10788,0.88
10789,0.2
10790,0.52
10791,0.96
10792,0.6
10793,0.96
10794,0.96
10795,0.92
10796,0.39999999999999997
10797,0.96
10798,0.48
10799,0.4
10800,0.84
10801,0.25333333333333335
10802,0.92
10803,0.16666666666666666
10804,0.4145454545454546
10805,0.04
10806,0.84
10807,0.44
10808,0.32
10809,0.54
10810,0.12
10811,0.0
10812,0.96
10813,0.0
10814,0.0
10815,0.92
10816,0.64
10817,0.12
10818,0.96
10819,0.0
10820,0.8
10821,0.0
10822,0.12
10823,0.84
10824,0.04
10825,0.32
10826,0.28
10827,0.84
10828,1.0
10829,0.44
10830,0.56
10831,0.76
10832,0.64
10833,0.76
10834,0.0
10835,0.22666666666666668
10836,1.0
10837,0.88
10838,0.6
10839,0.0
10840,0.48
10841,0.08
10842,0.4
10843,0.32
10844,0.72
10845,0.9333333333333332
10846,0.68
10847,0.64
10848,0.0
10849,0.84
10850,0.88
10851,0.36
10852,0.64
10853,0.6000000000000001
10854,0.86
10855,0.8400000000000001
10856,0.88
10857,0.68
10858,0.76
10859,0.0
10860,0.0
10861,0.0
10862,0.64
10863,0.24
10864,1.0
10865,0.8
10866,0.08
10867,0.2
10868,0.66
10869,0.24
10870,0.68
10871,1.0
10872,0.32
10873,0.16
10874,0.9333333333333332
10875,0.98
10876,1.0
10877,0.96
10878,0.76
10879,0.32
10880,0.32
10881,1.0
10882,0.28
10883,0.28
10884,0.28
10885,0.76
10886,0.5
10887,0.44
10888,1.0
