Opportunity_ID,Target
10689,0.9333333333333332
10690,0.488
10691,0.8
10692,0.7599999999999999
10693,1.0
10694,1.0
10695,0.8000000000000002
10696,0.84
10697,0.8400000000000001
10698,0.8
10699,0.776
10700,0.8000000000000002
10701,0.68
10702,0.64
10703,0.7600000000000001
10704,0.84
10705,0.62
10706,0.42000000000000004
10707,0.48
10708,0.56
10709,0.56
10710,0.88
10711,0.88
10712,0.84
10713,0.8
10714,0.68
10715,0.64
10716,0.64
10717,0.76
10718,0.76
10719,0.68
10720,0.4
10721,0.68
10722,0.68
10723,0.68
10724,0.76
10725,1.0
10726,0.76
10727,0.76
10728,0.96
10729,0.84
10730,0.8
10731,0.12
10732,0.6
10733,0.56
10734,0.88
10735,0.96
10736,0.76
10737,0.84
10738,0.96
10739,0.4
10740,0.12
10741,0.68
10742,0.74
10743,0.96
10744,0.96
10745,0.96
10746,0.96
10747,0.96
10748,0.84
10749,0.88
10750,0.84
10751,0.72
10752,0.72
10753,0.52
10754,0.6333333333333334
10755,0.76
10756,0.84
10757,0.12
10758,0.165
10759,0.0
10760,0.32
10761,0.88
10762,0.72
10763,0.72
10764,0.92
10765,0.44
10766,0.88
10767,0.9066666666666666
10768,0.44
10769,0.6
10770,0.68
10771,0.0
10772,0.54
10773,0.36
10774,0.72
10775,0.64
10776,0.64
10777,0.88
10778,0.92
10779,0.8133333333333334
10780,0.72
10781,0.68
10782,0.44
10783,0.56
10784,0.64
10785,0.88
10786,0.0
10787,0.8133333333333335
10788,0.84
10789,0.32
10790,0.84
10791,0.88
10792,0.8
10793,0.88
10794,0.88
10795,0.92
10796,0.3657142857142857
10797,0.52
10798,0.48
10799,0.2
10800,0.24
10801,0.41333333333333333
10802,0.04
10803,0.0
10804,0.7563636363636362
10805,0.16
10806,0.84
10807,0.4
10808,0.248
10809,0.44
10810,0.0
10811,0.0
10812,0.76
10813,0.0
10814,0.0
10815,0.52
10816,0.76
10817,0.0
10818,0.92
10819,0.08
10820,0.72
10821,0.16
10822,0.08
10823,0.76
10824,0.0
10825,0.32
10826,0.74
10827,0.92
10828,0.96
10829,0.4133333333333334
10830,0.04
10831,0.24
10832,0.68
